City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
78,Nagua,19.3832,-69.8474,84.51,100,40,11.5,DO,scattered clouds
79,Trairi,-3.2778,-39.2689,86.36,59,37,10.8,BR,scattered clouds
80,Tiksi,71.6872,128.8694,1.62,78,100,21.94,RU,overcast clouds
81,Shingu,33.7333,135.9833,52.72,77,0,8.05,JP,clear sky
82,Castro,-24.7911,-50.0119,71.67,70,40,2.08,BR,scattered clouds
83,Izmit,40.7669,29.9169,66.88,51,0,2.68,TR,clear sky
84,Nabire,-3.3667,135.4833,75.6,92,100,2.98,ID,overcast clouds
85,Kodiak,57.79,-152.4072,34.72,76,30,9.08,US,scattered clouds
86,Biak,-0.9131,122.8766,76.66,86,100,1.01,ID,overcast clouds
87,Oktyabrskiy,54.4815,53.471,34.21,28,100,15.93,RU,light snow
88,Bilibino,68.0546,166.4372,-15.18,99,94,2.48,RU,overcast clouds
89,Bafoulabe,13.8065,-10.8321,90.73,39,33,4.0,ML,scattered clouds
90,Ranong,9.9658,98.6348,77.13,89,97,3.69,TH,overcast clouds
91,Fukue,32.6881,128.8419,65.08,54,93,10.47,JP,overcast clouds
92,Longyearbyen,78.2186,15.6401,17.44,79,75,9.22,SJ,broken clouds
93,Celestun,20.8667,-90.4,81.21,62,97,8.79,MX,overcast clouds
94,Tasiilaq,65.6145,-37.6368,25.21,84,78,7.38,GL,broken clouds
95,Broome,42.2506,-75.833,46.45,61,70,1.99,US,broken clouds
96,Vaini,-21.2,-175.2,75.36,100,75,5.75,TO,light rain
97,Atuona,-9.8,-139.0333,77.4,67,79,16.24,PF,broken clouds
98,Kodinsk,58.6881,99.1844,8.73,92,100,9.26,RU,light snow
99,Xining,36.6167,101.7667,38.73,45,39,2.15,CN,scattered clouds
100,Vila Velha,-20.3297,-40.2925,76.95,78,75,16.11,BR,broken clouds
101,Alofi,-19.0595,-169.9187,75.09,88,100,3.44,NU,overcast clouds
102,Georgetown,5.4112,100.3354,79.95,93,20,5.01,MY,few clouds
103,Nanortalik,60.1432,-45.2371,36.68,90,100,2.75,GL,light rain
104,Cockburn Town,21.4612,-71.1419,85.96,66,40,11.5,TC,scattered clouds
105,Boundiali,9.5217,-6.4869,84.78,46,46,1.81,CI,scattered clouds
106,Mtambile,-5.3833,39.7,78.57,83,18,8.52,TZ,few clouds
107,Bandarbeyla,9.4942,50.8122,78.42,72,0,11.92,SO,clear sky
108,Bathsheba,13.2167,-59.5167,88.41,62,20,20.71,BB,few clouds
109,Mokhotlong,-29.2894,29.0675,60.44,24,89,5.35,LS,overcast clouds
110,Ajuchitlan,20.7167,-100.0167,67.44,37,56,7.52,MX,broken clouds
111,Aswan,24.0934,32.907,88.9,23,0,6.91,EG,clear sky
112,Banisilan,7.4908,124.7242,71.53,93,90,3.49,PH,overcast clouds
113,Dzerzhinsk,56.2389,43.4631,42.62,100,90,8.95,RU,overcast clouds
114,Sungaipenuh,-2.0833,101.3833,65.55,97,99,1.07,ID,light rain
115,Campoverde,-8.4753,-74.8058,76.69,47,86,1.66,PE,overcast clouds
116,Ketchikan,55.3422,-131.6461,42.31,83,100,5.35,US,light rain
117,Port Blair,11.6667,92.75,80.64,74,37,1.39,IN,scattered clouds
118,Bethel,41.3712,-73.414,51.12,47,1,3.44,US,clear sky
119,Khatanga,71.9667,102.5,22.69,95,100,21.72,RU,snow
120,Saint Anthony,45.0205,-93.218,51.15,70,1,1.01,US,clear sky
121,Komsomolskiy,40.4272,71.7189,38.62,52,75,9.22,UZ,haze
122,Mansehra,34.3333,73.2,57.31,46,81,4.7,PK,broken clouds
